Vendor,,Offer #,Market,,Event Name,,,Event Date,AdPlan #,Ad Plan Name,,Marketer ,Rate,,,Tracking
,,335261,Chicago,,Lana Del Rey,,,5/30/2015,87600,Lana Del Rey - First Midwest Bank Amphitheatre (Tinley Park),,LSchoenholtz,$0.00 ,,,http://www.livenation.com/events/417835-may-30-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Chicago_FirstMidwestBankAmphitheatre_LanaDelRey_DR_Standard_C_60660_20150323_20150323
,,335261,Chicago,,Lana Del Rey,,,5/30/2015,87600,Lana Del Rey - First Midwest Bank Amphitheatre (Tinley Park),,LSchoenholtz,$990.64 ,,,http://www.livenation.com/events/417835-may-30-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Chicago_FirstMidwestBankAmphitheatre_LanaDelRey_DR_Standard_O_42419_20141201_20141201
,,334620,Detroit,,Lana Del Rey,,,5/31/2015,86427,Lana Del Rey - DTE Energy Music Theatre (Clarkston),,DClark,$0.00 ,,,http://www.livenation.com/events/417862-may-31-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Detroit_DTEEnergyMusicTheatre_LanaDelRey_DR_Standard_C_60668_99991231_99991231
,,334620,Detroit,,Lana Del Rey,,,5/31/2015,86427,Lana Del Rey - DTE Energy Music Theatre (Clarkston),,DClark,$990.17 ,,,http://www.livenation.com/events/417862-may-31-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Detroit_DTEEnergyMusicTheatre_LanaDelRey_DR_Standard_O_42422_20141201_20141201
,,333263,Toronto,,Lana Del Rey,,,6/3/2015,86002,Lana Del Rey - Molson Canadian Amphitheatre (Toronto),,BKehoe,$0.00 ,,,http://www.livenation.com/events/417844-jun-3-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Toronto_MolsonCanadianAmphitheatre_LanaDelRey_DR_Standard_C_60676_20141207_20141207
,,333263,Toronto,,Lana Del Rey,,,6/3/2015,86002,Lana Del Rey - Molson Canadian Amphitheatre (Toronto),,BKehoe,$548.30 ,,,http://www.livenation.com/events/417844-jun-3-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Toronto_MolsonCanadianAmphitheatre_LanaDelRey_DR_Standard_O_42425_20141126_20141126
,,335193,Montreal,,Lana Del Rey,,,6/4/2015,87364,Lana Del Rey - Bell Centre (Montreal),,DefaultMarketer,$0.00 ,,,http://www.livenation.com/events/419102-jun-4-2015-lana-del-rey?c=LN_NAC_DSP_NAT_DataXu_Montreal_BellCentre_LanaDelRey_DR_Standard_C_60684_99991231_99991231
,,335193,Montreal,,Lana Del Rey,,,6/4/2015,87364,Lana Del Rey - Bell Centre (Montreal),,DefaultMarketer,"$1,193.24 ",,,http://www.livenation.com/events/419102-jun-4-2015-lana-del-rey?c=LN_NAC_DSP_NAT_DataXu_Montreal_BellCentre_LanaDelRey_DR_Standard_O_42428_20141126_20141126
,,337233,Philadelphia ,,Lana Del Rey,,,6/6/2015,87368,Lana Del Rey - Borgata Resort Spa & Casino (Atlantic City),,DefaultMarketer,$0.00 ,,,
,,332373,Boston,,Lana Del Rey,,,6/9/2015,,,,,$0.00 ,,,http://www.livenation.com/events/452036-jun-9-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Boston_XfinityCenter_LanaDelRey_DR_Standard_C_60700_99991231_99991231
,,332373,Boston,,Lana Del Rey,,,6/9/2015,,,,,$0.00 ,,,http://www.livenation.com/events/452036-jun-9-2015-lana-del-rey-endless-summer-tour?c=LN_NAC_DSP_NAT_DataXu_Boston_XfinityCenter_LanaDelRey_DR_Standard_O_42434_99991231_99991231
